"eigenvalues","factors"
8.80920152097331,1
6.28759705154829,2
3.73990835137292,3
2.93376358285762,4
2.67185663368926,5
2.17910111537388,6
1.9331103877696,7
1.63939100596379,8
1.42502650694563,9
1.31003274689101,10
1.18049019179404,11
1.0821605799261,12
1.0578666244789,13
1.0091500215951,14
0.977191962798847,15
0.938574161154639,16
0.902544721715837,17
0.885474300469009,18
0.848506041706635,19
0.831639961101916,20
0.821384597003912,21
0.786533798267536,22
0.769836784853815,23
0.744803314300734,24
0.713474085056557,25
0.687641310892326,26
0.670524528390074,27
0.660928972164317,28
0.643451310438367,29
0.607129479283084,30
0.598249040937439,31
0.581362052526535,32
0.567836005237735,33
0.549745045397438,34
0.52068181733578,35
0.50491527682651,36
0.492675522253426,37
0.46683524785456,38
0.46414393968103,39
0.44068381791479,40
0.429755145265215,41
0.39747141220435,42
0.390253710090498,43
0.381163537473832,44
0.36370582275388,45
0.350903095333907,46
0.324176727929319,47
0.321446719210596,48
0.283815739798963,49
0.266047309203995,50
0.259716959781365,51
0.252827321765244,52
0.213180055162945,53
0.206281493942238,54
0.179429576678813,55
0.158874303288415,56
0.125059991587166,57
0.107163766707427,58
0.0803223272711774,59
-0.0270184321916197,60
