"","variables","factor","loading"
"122","famhx_ss_fath_prob_dg_p","3",0.133368590927508
"123","asr_scr_anxdisord_r","3",0.0800538498107346
"124","asr_scr_somaticpr_r","3",0.183267857732069
"125","asr_scr_depress_r","3",0.183197770131349
"126","asr_scr_avoidant_r","3",0.125113188246436
"127","asr_scr_adhd_r","3",0.119396519310149
"128","asr_scr_antisocial_r","3",0.0982143535204219
"129","demo_prnt_ed_v2","3",0.0385236247028558
"130","demo_comb_income_v2","3",0.0577173168495728
"131","crpbi_parent1_y","3",-0.0882395937088758
"132","crpbi_caregiver12_y","3",0.0422201954945878
"133","crpbi_parent2_y","3",0.0043049777882584
"134","crpbi_caregiver13_y","3",0.0974952922493444
"135","crpbi_parent3_y","3",-0.0716965543475464
"136","crpbi_caregiver14_y","3",0.0620683651470922
"137","crpbi_parent4_y","3",-0.053014995598792
"138","crpbi_caregiver15_y","3",0.105676565018752
"139","crpbi_parent5_y","3",-0.00301024823929309
"140","crpbi_caregiver16_y","3",-0.0145720941390206
"141","fes_youth_q1","3",0.0493106255517885
"142","fes_youth_q2","3",-0.000547395776534426
"143","fes_youth_q3","3",-0.00180748971466671
"144","fes_youth_q4","3",0.0247366108789367
"145","fes_youth_q5","3",0.0510785865807122
"146","fes_youth_q6","3",-0.0197886458809318
"147","fes_youth_q7","3",0.0891108056207666
"148","fes_youth_q8","3",0.032797813607538
"149","fes_youth_q9","3",0.053726638618795
"150","fam_enviro1_p","3",0.115261909988578
"151","fam_enviro2r_p","3",0.0731888759547362
"152","fam_enviro3_p","3",0.0269403560941856
"153","fam_enviro4r_p","3",0.0166501098700956
"154","fam_enviro5_p","3",0.0940758499959365
"155","fam_enviro6_p","3",0.0150668120220215
"156","fam_enviro7r_p","3",-0.0371132604458679
"157","fam_enviro8_p","3",0.104853221569028
"158","fam_enviro9r_p","3",-0.06161702269204
"159","ksads_ptsd_raw_754_p","3",0.472484181482416
"160","ksads_ptsd_raw_755_p","3",0.441488664824455
"161","ksads_ptsd_raw_756_p","3",0.585929213585904
"162","ksads_ptsd_raw_757_p","3",0.629297043617773
"163","ksads_ptsd_raw_766_p","3",0.4463068424919
"164","ksads_ptsd_raw_770_p","3",0.333956726388267
"165","parent_monitor_q1_y","3",-0.0359041282757492
"166","parent_monitor_q2_y","3",-0.0859504335887209
"167","parent_monitor_q3_y","3",-0.0470765274051915
"168","parent_monitor_q4_y","3",0.0681497283085675
"169","parent_monitor_q5_y","3",-0.00370621333167016
"170","nsc_p_ss_mean_3_items","3",0.0587578141043735
"171","neighborhood_crime_y","3",0.0576581146067504
"172","reshist_addr1_adi_wsum","3",0.0847294714183215
"173","demo_prim_biosep","3",0.07750877130388
"174","demo_parent_sep","3",0.0945765390440512
"175","ksads_ptsd_raw_758_759_760","3",0.836376573662316
"176","ksads_ptsd_raw_761_to_765","3",0.767774697606339
"177","ksads_ptsd_raw_767_768_769","3",0.662096068212041
"178","demo_fam_exp1_5_v2","3",0.171464663718706
"179","demo_fam_exp6_7_v2","3",0.150657810870172
"180","famhx_ss_moth_prob_alc_dg","3",0.141594485236153
"181","famhx_ss_fath_prob_alc_p","4",0.117486222553828
"182","famhx_ss_fath_prob_dg_p","4",0.192475891974969
"183","asr_scr_anxdisord_r","4",0.696609158073083
"184","asr_scr_somaticpr_r","4",0.533982330356859
"185","asr_scr_depress_r","4",0.832953888121525
"186","asr_scr_avoidant_r","4",0.663438582185199
"187","asr_scr_adhd_r","4",0.674058790904086
"188","asr_scr_antisocial_r","4",0.556459903036665
"189","demo_prnt_ed_v2","4",0.0167615094351443
"190","demo_comb_income_v2","4",0.00620135967717778
"191","crpbi_parent1_y","4",-0.0199685570080859
"192","crpbi_caregiver12_y","4",0.030485076606447
"193","crpbi_parent2_y","4",0.00802304358670848
"194","crpbi_caregiver13_y","4",-0.0127058423756402
"195","crpbi_parent3_y","4",-0.0338847334317533
"196","crpbi_caregiver14_y","4",0.0198064956079457
"197","crpbi_parent4_y","4",-0.00663449846603293
"198","crpbi_caregiver15_y","4",-0.0318266377335714
"199","crpbi_parent5_y","4",-0.00656823605044279
