"","1","2","3","4","5","6","7","variables"
"1",0.0262363774446103,0.187613806256296,0.0971615985750869,0.117486222553828,0.112624380632205,-0.0620307193111856,0.549240696234922,"famhx_ss_fath_prob_alc_p"
"2",0.062568925743318,0.266501125960195,0.133368590927508,0.192475891974969,0.117408888254043,-0.0179128158753994,0.677238008805907,"famhx_ss_fath_prob_dg_p"
"3",-0.00282409029050701,0.116249160040625,0.0800538498107346,0.696609158073083,0.144694523150685,0.0189512159641341,-0.0026933310323826,"asr_scr_anxdisord_r"
"4",0.0225427072643751,0.169444422819916,0.183267857732069,0.533982330356859,0.0961420947517353,0.0291072325579289,0.0980260542070264,"asr_scr_somaticpr_r"
"5",0.0234442230598938,0.0764564015052122,0.183197770131349,0.832953888121525,0.159563668222549,0.0288674147789631,0.0686196734384345,"asr_scr_depress_r"
"6",0.0356323574897905,0.0494864711351473,0.125113188246436,0.663438582185199,0.128318444187345,0.0322651220357846,0.0354164950761464,"asr_scr_avoidant_r"
"7",0.0511710613858745,0.0398825773954326,0.119396519310149,0.674058790904086,0.246870153450726,0.04564510538461,0.136008577125524,"asr_scr_adhd_r"
"8",0.0338266226156908,0.133470840620727,0.0982143535204219,0.556459903036665,0.379624890637832,0.0374630170400577,0.156041750790854,"asr_scr_antisocial_r"
"9",0.0430135733815002,0.729100642700893,0.0385236247028558,0.0167615094351443,0.00870018077950501,0.0609878191395452,0.116769484266834,"demo_prnt_ed_v2"
"10",0.0371763155067933,0.905099047619957,0.0577173168495728,0.00620135967717778,0.0457921338235518,0.064623801055687,0.076194875390614,"demo_comb_income_v2"
"11",0.629104124367032,-0.0436411669588731,-0.0882395937088758,-0.0199685570080859,0.016494053909621,0.15943141754677,0.106197877371335,"crpbi_parent1_y"
"12",0.679387425904817,-0.0180997210407385,0.0422201954945878,0.030485076606447,0.0253390135536572,0.00175370172685896,-0.0551955461637401,"crpbi_caregiver12_y"
"13",0.596969935141682,0.0955688613266467,0.0043049777882584,0.00802304358670848,0.0176960222733946,0.191936809132787,-0.00673294546759108,"crpbi_parent2_y"
"14",0.651234793253139,0.0536219773085507,0.0974952922493444,-0.0127058423756402,0.0242536442380481,0.0630335207538881,-0.0793830237274885,"crpbi_caregiver13_y"
"15",0.66473150920795,-0.0171356135543627,-0.0716965543475464,-0.0338847334317533,0.040546774952008,0.157115153480995,0.0477577577430115,"crpbi_parent3_y"
"16",0.73500246088536,0.00608807044424964,0.0620683651470922,0.0198064956079457,0.020434221739487,0.0345447710539981,-0.110665161498094,"crpbi_caregiver14_y"
"17",0.688698758998801,0.00415582051691511,-0.053014995598792,-0.00663449846603293,0.0267345515374775,0.179674389513181,0.0578619620549724,"crpbi_parent4_y"
"18",0.737295225086036,0.0373576199517608,0.105676565018752,-0.0318266377335714,0.0575492713603924,0.043952589605848,-0.0566472314794606,"crpbi_caregiver15_y"
"19",0.566250730826758,0.0062234309216411,-0.00301024823929309,-0.00656823605044279,0.0200001590810952,0.223339241403269,0.0645169067821594,"crpbi_parent5_y"
"20",0.587066106280385,-0.0152539152799949,-0.0145720941390206,0.0545481616838836,0.0386045015738604,0.042518732640413,-0.0233993157381838,"crpbi_caregiver16_y"
"21",0.215477076040757,0.0596691970076617,0.0493106255517885,0.056440602196897,0.112937860115979,0.699073385402685,0.0457943496577874,"fes_youth_q1"
"22",0.152538280247626,0.0656317175154848,-0.000547395776534426,0.0167979747744559,0.0713082045025842,0.483203337507864,0.0678081225758693,"fes_youth_q2"
"23",0.102383545735924,0.158853608878434,-0.00180748971466671,0.0476875450071243,0.0766430957845132,0.63222506556372,-0.0159410072094072,"fes_youth_q3"
"24",0.177545476549141,-0.0179643443964491,0.0247366108789367,0.0159827111939639,0.105462569997087,0.614337515477456,-0.00552724362632639,"fes_youth_q4"
"25",0.212688913197511,0.0793278255873692,0.0510785865807122,0.0323200554666207,0.08066419228563,0.542679225334876,0.0423452521250091,"fes_youth_q5"
"26",0.145505517833514,0.0627741417455828,-0.0197886458809318,0.021431673795378,0.0727397235016721,0.682351529711405,-0.118262114405681,"fes_youth_q6"
"27",0.348216912618839,0.0627058018251218,0.0891108056207666,-0.000566031350116081,0.0517112272322286,0.414660507039861,0.0131551937853924,"fes_youth_q7"
"28",0.107618395609858,0.0797735956650016,0.032797813607538,0.019356822796994,0.0914944658108295,0.49231498867326,0.00390763134964099,"fes_youth_q8"
"29",0.212076182263228,-0.036913180599075,0.053726638618795,0.00258523992043007,0.0110494593051879,0.323948172062465,0.00467071772625815,"fes_youth_q9"
"30",0.00650501500554578,-0.0358211674626664,0.115261909988578,0.291029444332989,0.74533067275946,0.133886271535788,0.0707521663884408,"fam_enviro1_p"
"31",0.0266559937668055,-0.00566055657958168,0.0731888759547362,-0.0128522115436077,0.644848638043386,0.067664211745813,0.0315245619520634,"fam_enviro2r_p"
"32",-0.0112294560136965,0.0837418650829285,0.0269403560941856,0.24922354401161,0.588409536832122,0.152354404634619,0.0644069872775377,"fam_enviro3_p"
"33",0.0214926076763625,0.00480687232532444,0.0166501098700956,0.0481925239591295,0.747198665961243,0.0983017891496272,0.0173427003376014,"fam_enviro4r_p"
"34",0.0105302796503955,0.107066710511618,0.0940758499959365,0.212878566468377,0.566541057250564,0.0997109803455721,-0.0059317251842202,"fam_enviro5_p"
"35",-0.0449598776160559,0.18148630716224,0.0150668120220215,0.161443668030858,0.532049629424409,0.236410513803553,0.0181583675202123,"fam_enviro6_p"
